Product Name,Price,Description
"Thé vert Douceur de Pyc (amande, vanille) en vrac","29,30 € ht","Arômes naturels : Amande-vanille Ingrédients : Thé vert China Sencha, pomme, bâtons de cannelle, gingembre, arôme naturel, souci, vanille. Mélange premium avec des ingrédients issus de l'agriculture durable et des..."
Thé vert 25 printemps (fleur de sureau fruitée) en vrac,"30,55 € ht","Arôme naturel : Fleur de sureau fruitée Ingrédients : Thé vert China Sencha, citronnelle, menthe, écorces de citron, arôme naturel, fleurs de sureau, canneberge, fleurs de bleuet. Mélange premium avec..."
"Thé vert (Orange,vanille) en vrac","30,55 € ht","Saveur : Orange-Vanille Ingrédients : Thé vert China Sencha*, pomme*, bâtons de cannelle*, écorces d'orange* (5%), arôme naturel, poivre rose*, graine de coriandre*, clou de girofle*, cardamome*, mauve*. *Issu de..."
"Thé vert Beauté de la peau (grenade, menthe) en vrac","33,70 € ht","Arome naturel : Grenade - Menthe Power max Menthe, gingembre, curcuma, ces saveurs délicates sont idéales pour garder une énergie sans faille. À consommer à n'importe quel moment de la..."
"Thé vert Biscuit gourmand (noix, vanille) en vrac","38,45 € ht","Arôme naturel : Noix-vanille Ingrédients : Thé vert Bancha*, Houjicha, fève de cacao concassée*, pomme*, arôme naturel, noix* (4%), vanille*. *Issu de l‘agriculture biologique.Dosage : 12 - 15 g/LTemps d'infusion..."
Thé vert au bout de la nuit (énergie) en vrac,"33,50 € ht","Arôme naturel : Énergie Ingrédients : Thé vert China Sencha, maté vert, citronnelle, écorces de citron, arôme naturel, guarana, thé vert Matcha, Stevia, fleurs de bleuet. Mélange premium élaboré avec..."
"Thé vert Corbara (goyave, pamplemousse) en vrac","27,95 € ht","Arôme naturel : Goyave-pamplemousse Ingrédients : Thé vert China Sencha, écorces de citron, arôme naturel, lavande, mandarine. Mélange premium avec des ingrédients issus de l'agriculture durable et des arômes naturels...."
Thé vert Détox (orange) en vrac,"32,65 € ht","Arôme naturel : Orange Ingrédients :  Thé vert China Sencha, maté vert, écorces d'orange (9%), raisin (raisin, huile végétale), menthe, pomme, sauge, banane (banane, huile de noix de coco, sucre..."
"Thé vert du désert (figue de barbarie, citron) en vrac","27,20 € ht","Arôme naturel : Figue de barbarie-citron Ingrédients : Thé vert China Sencha, datte (datte, farine de riz), écorces de citron, citronnelle, figue (figue, farine de riz), arôme naturel, mauve. Mélange..."
"Thé vert explosion de fruits (fraise, pomme) en vrac","35,80 € ht","Arôme naturel : Fraise-pomme Ingrédients : Thé vert China Sencha, pomme, datte (datte, farine de riz), banane (banane, huile de noix de coco, sucre de canne, miel), baie de goji,..."
Thé vert fleurs sacrées (Fleurs de cerisier) en vrac,"60,80 € ht","Arôme naturel : Fleurs de cerisier Ingrédients : Japon Genmaicha Miyazaki, arôme naturel, pétales de rose, spirulina. Mélange premium avec des ingrédients issus de l'agriculture durable et des arômes naturels..."
Thé vert Goûter croquant (noix) en vrac,"39,50 € ht","Arôme naturel : Noix Ingrédients : Thé vert de Chine Sencha*, Houjicha, bâtons de cannelle*, gingembre (gingembre, sucre de canne brut)*, arôme naturel, noisette* (5%), noix* (4%), coco*, bourbon vanille*...."
"Thé vert Plaisir SUCRÉ (pomme banane, crème) en vrac","27,95 € ht","Arôme naturel : Pomme-banane-crème Ingrédients : Thé vert de Chine Sencha*, pomme* (21%), datte (datte, farine de riz)*, bâtons de cannelle*, banane (banane, huile de noix de coco, sucre de..."
"Thé vert/oolong Trio (fraise, vanille, orchidée) en vrac","42,10 € ht","Arômes naturels : Fraise-orchidée Ingrédients : Thé vert China Sencha, écorces d'orange, China Oolong, arôme naturel, anis, racine de réglisse, camomille, fraise (3%), pétales de rose, abricot, fleurs de bleuet,..."
"Thé vert Mariage exotique (coco, brownie) en vrac","35,80 € ht","Arôme naturel : Coco-brownie Ingrédients : Thé vert de Chine Sencha*, coco* (5%), arôme naturel, fève de cacao concassée*, écorces de cacao*, poivre noir*, verveine*, souci*, feuilles de moringa*. *Issu..."
"Thé vert Manzana (pomme, citron) en vrac","33,50 € ht","Arôme naturel : Pomme-citron Ingrédients : Thé vert China Sencha, citronnelle, pomme (11%), gingembre, pomme (7%), gingembre (gingembre, sucre de canne brut), arôme naturel, feuilles de moringa, verveine entière, fleurs..."
Thé vert Joli cœur (Citron-sureau) en vrac,"33,70 € ht","Arôme naturel : Citron-Fleurs de sureau Ingrédients : Thé vert China Sencha (47%), citronnelle, thé vert China Gunpowder, Green Putharjhora, amarante (6%), fleurs de sureau, arôme naturel, thé blanc Mao..."
